prot_id
9606.ENSP00000230354
9606.ENSP00000269305
9606.ENSP00000309555
9606.ENSP00000310127
9606.ENSP00000313007
9606.ENSP00000315768
9606.ENSP00000329967
9606.ENSP00000355231
9606.ENSP00000359531
9606.ENSP00000360266
10298.AN_HHV11
10298.DNBI_HHV11
10298.DPOL_HHV11
10298.DUT_HHV11
10298.EV45_HHV11
10298.GB_HHV11
10298.GC_HHV11
10298.GD_HHV11
10298.GE_HHV11
10298.GG_HHV11
10298.GH_HHV11
10298.GI_HHV11
10298.GJ_HHV11
10298.GK_HHV11
10298.GL_HHV11
10298.GM_HHV11
10298.GN_HHV11
10298.HELI_HHV11
10298.HEPA_HHV11
10298.ICP0_HHV11
10298.ICP22_HHV11
10298.ICP27_HHV11
10298.ICP34_HHV11
10298.ICP47_HHV11
10298.ICP4_HHV11
10298.KITH_HHV11
10298.LTP_HHV11
10298.MB43_HHV11
10298.MCP_HHV11
10298.NP03_HHV11
10298.NP04_HHV11
10298.OBP_HHV11
10298.PAP_HHV11
10298.PORTL_HHV11
10298.PRIM_HHV11
10298.RIR1_HHV11
10298.RIR2_HHV11
10298.RNB_HHV11
10298.SCAF_HHV11
10298.SHUT_HHV11
10298.TEG1_HHV11
10298.TEG2_HHV11
10298.TEG3_HHV11
10298.TEG4_HHV11
10298.TEG5_HHV11
10298.TEG6_HHV11
10298.TEG7_HHV11
10298.TRM1_HHV11
10298.TRM2_HHV11
10298.TRM3_HHV11
10298.UL07_HHV11
10298.UL13_HHV11
10298.UL16_HHV11
10298.UL17_HHV11
10298.UL20_HHV11
10298.UL24_HHV11
10298.UL25_HHV11
10298.UL31_HHV11
10298.UL32_HHV11
10298.UL34_HHV11
10298.UL37_HHV11
10298.UL56_HHV11
10298.UNG_HHV11
10298.US02_HHV11
10298.US03_HHV11
10298.US10_HHV11
10298.US8A_HHV11
10298.US9_HHV11
10298.VP16_HHV11
10298.VP19_HHV11
10298.VP22_HHV11
10298.VP23_HHV11
10298.VP26_HHV11
