9606.ENSP00000221930,TGFB1
9606.ENSP00000258743,IL6
9606.ENSP00000261769,CDH1
9606.ENSP00000269305,TP53
9606.ENSP00000293288,BAX
9606.ENSP00000301633,BIRC5
9606.ENSP00000356438,PTGS2
9606.ENSP00000359531,GTF2B
9606.ENSP00000387699,CREB1
9606.ENSP00000398698,TNF
10407.CAPSD_HBVCJ,CAPSD_HBVCJ
10407.DPOL_HBVCJ,P
10407.HBEAG_HBVCJ,C
10407.HBSAG_HBVCJ,LHB
10407.X_HBVCJ,X
